LAMMPS data file - isolated gel with six shear plates

265594 atoms
98760 bonds

5 atom types
1 bond types

2.182208 49.993792 xlo xhi
2.364082 49.811918 ylo yhi
-45.172258 166.916258 zlo zhi

Masses

1 1.0000
2 1.0000
3 1.0000
4 1.0000
5 1.0000

Atoms

1 160492 3 2.627530 6.174752 -22.518838
2 206760 3 7.275016 4.664799 -42.471622
3 269938 3 2.452141 3.914622 -45.052318
4 178884 3 7.005465 3.841623 -43.710248
5 229586 3 3.004070 8.075361 -21.251130
6 185510 3 5.575694 3.534203 -43.995125
7 259326 3 7.326313 7.247535 -22.085754
8 232142 3 7.491855 4.732114 -39.765728
9 179293 3 8.066942 3.754700 -36.652449
10 179153 3 5.461770 4.061076 -33.712599
11 162201 3 3.043769 7.375513 -32.981697
12 232836 3 6.808063 5.804940 -40.283831
13 176129 3 3.935438 6.130983 -42.910028
14 158242 3 7.812284 5.581619 -42.567155
15 266401 3 5.148759 4.884127 -20.151084
16 145540 3 3.757667 3.929326 -22.516422
17 241070 3 8.011999 6.351744 -20.862918
18 269917 3 3.600326 5.468902 -41.733594
19 166462 3 4.956766 2.625347 -43.515528
20 170978 3 4.969858 5.747904 -27.665284
21 142058 3 7.812926 6.441524 -26.388863
22 268064 3 6.892148 6.506855 -35.919013
23 145824 3 4.686007 5.843483 -19.656474
24 245748 3 4.568838 6.161578 -21.987707
25 223682 3 3.510926 4.256061 -43.026969
26 247510 3 2.357562 5.219913 -39.053877
27 143934 3 5.919555 8.282418 -24.732481
28 259409 3 4.756705 5.812165 -35.593722
29 231950 3 7.259987 7.364054 -43.170984
30 149628 3 4.475138 4.007375 -38.220328
31 163257 3 3.854993 3.341871 -42.700437
32 193802 3 7.862126 4.256967 -40.711570
33 256386 3 2.436428 7.630499 -20.178935
34 201934 3 8.005442 4.492993 -26.434280
35 150104 3 4.019783 4.717212 -35.886557
36 139254 3 3.069711 8.031913 -33.943662
37 199901 3 3.551303 5.928855 -44.381866
38 170038 3 5.856037 4.041923 -42.544750
39 245792 3 4.474965 7.537521 -30.385578
40 207182 3 2.958572 4.854091 -31.128592
41 207687 3 2.507133 3.562538 -28.941054
42 201865 3 6.658203 3.093809 -41.283029
43 147410 3 3.824454 7.677617 -42.724020
44 210952 3 4.072657 2.851882 -37.559331
45 235912 3 6.328341 5.483600 -43.473526
46 219087 3 4.835674 7.352344 -41.537410
